,Unnamed: 0,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
1352,1352,1.344054358418346e+18,"When are we going to be allowed to do signature verification in Fulton County, Georgia? The process is going VERY slowly. @BrianKempGA Pennsylvania just found 205,000 votes more than they had voters. Therefore, we WIN Pennsylvania!!!",False,False,264243,67424,2020-12-29,"when are we going to be allowed to do signature verification in fulton county, georgia? the process is going very slowly. pennsylvania just found 205,000 votes more than they had voters. therefore, we win pennsylvania!!!"
1355,1355,1.32585940762069e+18,...Chris will do a GREAT job! Mark Esper has been terminated. I would like to thank him for his service.,False,False,237785,34779,2020-11-09,...chris will do a great job! mark esper has been terminated. i would like to thank him for his service.
1356,1356,1.3258594063497994e+18,"I am pleased to announce that Christopher C. Miller, the highly respected Director of the National Counterterrorism Center (unanimously confirmed by the Senate), will be Acting Secretary of Defense, effective immediately..",False,False,384369,69447,2020-11-09,"i am pleased to announce that christopher c. miller, the highly respected director of the national counterterrorism center (unanimously confirmed by the senate), will be acting secretary of defense, effective immediately.."
1358,1358,1.3441423880638218e+18,"...The consent decree signed by the “Secretary”, with the consent of Kemp, is perhaps even more poorly negotiated than the deal that John Kerry made with Iran. Now it turns out that Brad R’s brother works for China, and they definitely don’t want “Trump”. So disgusting! #MAGA",False,False,127151,30219,2020-12-30,"...the consent decree signed by the “secretary”, with the consent of kemp, is perhaps even more poorly negotiated than the deal that john kerry made with iran. now it turns out that brad r’s brother works for china, and they definitely don’t want “trump”. so disgusting! maga"
1359,1359,1.3441423869355704e+18,"I love the Great State of Georgia, but the people who run it, from the Governor, @BrianKempGA, to the Secretary of State, are a complete disaster and don’t have a clue, or worse. Nobody can be this stupid. Just allow us to find the crime, and turn the state Republican....",False,False,179051,41082,2020-12-30,"i love the great state of georgia, but the people who run it, from the governor, , to the secretary of state, are a complete disaster and don’t have a clue, or worse. nobody can be this stupid. just allow us to find the crime, and turn the state republican...."
1360,1360,1.3441607885677732e+18,....other acts of fraud and irregularities as well. STAY TUNED!,False,False,133717,26638,2020-12-30,....other acts of fraud and irregularities as well. stay tuned!
1361,1361,1.3441607873849713e+18,"....that, quite frankly, didn’t have much of a chance, like 7, 8 or 9. The Presidential Election was Rigged with hundreds of thousands of ballots mysteriously flowing into Swing States very late at night as everyone thought the election was easily won by me. There were many....",False,False,128681,25801,2020-12-30,"....that, quite frankly, didn’t have much of a chance, like 7, 8 or 9. the presidential election was rigged with hundreds of thousands of ballots mysteriously flowing into swing states very late at night as everyone thought the election was easily won by me. there were many...."
1362,1362,1.3441607862525256e+18,"The Wall Street Journal’s very boring & incoherent Editorial fails to mention my big & easy wins in Texas, Florida, Ohio, Iowa & many other states that the @WSJ & other joke polls said I would lose. Also, they fail to mention the fact that I got many Republican Senators elected..",False,False,161868,34953,2020-12-30,"the wall street journal’s very boring & incoherent editorial fails to mention my big & easy wins in texas, florida, ohio, iowa & many other states that the & other joke polls said i would lose. also, they fail to mention the fact that i got many republican senators elected.."
1363,1363,1.3441736849830175e+18,"New Lott study estimates 11,350 absentee votes lost to Trump in Georgia. Another 289,000 ""excess (fraudulent) votes"" across GA, AZ, MI, NV, PA, and WI. Check it out! ➡️https://t.co/eIBjdmox5R https://t.co/2MlKVbBoLO",False,False,131000,38166,2020-12-30,"new lott study estimates 11,350 absentee votes lost to trump in georgia. another 289,000 ""excess (fraudulent) votes"" across ga, az, mi, nv, pa, and wi. check it out! ️"
1364,1364,1.3442594052740874e+18,"“Barack Obama was toppled from the top spot and President Trump claimed the title of the year’s Most Admired Man. Trump number one, Obama number two, and Joe Biden a very distant number three. That’s also rather odd given the fact that on November 3rd, Biden allegedly racked up",False,False,189893,42753,2020-12-30,"“barack obama was toppled from the top spot and president trump claimed the title of the year’s most admired man. trump number one, obama number two, and joe biden a very distant number three. that’s also rather odd given the fact that on november 3rd, biden allegedly racked up"
1365,1365,1.3442594065114317e+18,"...millions more votes than Trump, but can’t get anywhere close to him in this poll. No incoming president has ever done as badly in this annual survey.” @MarkSteynOnline @TuckerCarlson That’s because he got millions of Fake Votes in the 2020 Election, which was RIGGED!",False,False,142278,31196,2020-12-30,"...millions more votes than trump, but can’t get anywhere close to him in this poll. no incoming president has ever done as badly in this annual survey.” that’s because he got millions of fake votes in the 2020 election, which was rigged!"
1367,1367,1.344262826261676e+18,The Federal Government has distributed the vaccines to the states. Now it is up to the states to administer. Get moving!,False,False,179264,30881,2020-12-30,the federal government has distributed the vaccines to the states. now it is up to the states to administer. get moving!
1368,1368,1.3442720697275556e+18,$2000 ASAP!,False,False,302827,55513,2020-12-30,$2000 asap!
1369,1369,1.3442887008517448e+18,"Hearings from Atlanta on the Georgia Election overturn now being broadcast. Check it out. @OANN @newsmax and many more. @BrianKempGA should resign from office. He is an obstructionist who refuses to admit that we won Georgia, BIG! Also won the other Swing States.",False,False,183200,49303,2020-12-30,"hearings from atlanta on the georgia election overturn now being broadcast. check it out. and many more. should resign from office. he is an obstructionist who refuses to admit that we won georgia, big! also won the other swing states."
1370,1370,1.3443086412860047e+18,"Hearings from Atlanta on the Georgia Election overturn now being broadcast LIVE via @RSBNetwork! 
https://t.co/ogBvLbKfqG",False,False,129540,32791,2020-12-30,hearings from atlanta on the georgia election overturn now being broadcast live via !
1371,1371,1.3443582715708744e+18,"Thank you, a great honor! https://t.co/9GfT5c8hY0",False,False,206717,44291,2020-12-30,"thank you, a great honor!"
1372,1372,1.3443590347161068e+18,"Twitter is shadow banning like never before. A disgrace that our weak and ineffective political leadership refuses to do anything about Big Tech. They’re either afraid or stupid, nobody really knows!",False,False,259126,63698,2020-12-30,"twitter is shadow banning like never before. a disgrace that our weak and ineffective political leadership refuses to do anything about big tech. they’re either afraid or stupid, nobody really knows!"
1373,1373,1.3443593128781496e+18,"JANUARY SIXTH, SEE YOU IN DC!",False,False,457576,88900,2020-12-30,"january sixth, see you in dc!"
